Unnamed: 0,disease,symptoms
10,Actinic Keratosis,"rough, bleeding, crusting, burning, dry or scaly patch of skin, itching, color variations"
11,Acute Coronary Syndrome,"chest pain, discomfort, dizziness, fainting, fatigue, sweating, lightheadedness, nausea, vomiting, indigestion, shortness of breath, aching, pressure, tightness, burning, pain spreading from chest to shoulders, arms, back, neck, jaw, restless, apprehensive"
12,Acute Flaccid Myelitis,"arm weakness, leg weakness, loss of muscle tone, loss of reflexes, difficulty moving the eyes, drooping eyelids, facial droop, facial weakness, difficulty with swallowing, slurred speech, pain in the arms, legs, neck, back, numbness, tingling, inability to pass urine, respiratory failure"
13,Acute Myelogenous Leukemia,"fever, bone pain, lethargy, fatigue, shortness of breath, pale skin, frequent infections, easy bruising, unusual bleeding, frequent nosebleeds, bleeding from the gums"
14,Acute Sinusitis,"thick mucus, ear pressure, headache, aching teeth, altered sense of smell, cough, bad breath, fatigue, fever, swelling around eyes, pressure around eyes, tenderness, yellow mucus, greenish mucus, runny nose, postnasal drainage, blocked nose, stuffy nose, congestion, difficulty breathing, pain"
15,Addisons Disease,"nausea, diarrhea, vomiting, abdominal pain, muscle, joint pain, irritability, depression, body hair loss, sexual issues, fainting, salt craving, low blood sugar, severe weakness, confusion, pain in the lower back, pain in the legs, dehydration, reduced consciousness, delirium, low blood pressure, extreme fatigue, weight loss, loss of appetite, darkened skin"
16,Adenomyosis,"heavy or prolonged menstrual bleeding, severe cramping, sharp knifelike pelvic pain, chronic pelvic pain, painful intercourse, tenderness in lower abdomen, pressure in lower abdomen"
17,Adhd,"inattention, hyperactive behavior, impulsive behavior, careless mistakes, trouble staying focused, appear not to listen, difficulty following instructions, fail to finish schoolwork, fail to finish chores, trouble organizing tasks, avoid tasks requiring focused mental effort, short attention spans, constant motion, run around, climb, trouble playing quietly, talk too much, blurt out answers, difficulty waiting for his or her turn, interrupt conversations, intrude on others, squirm in the seat, difficulty staying seated, be on the go, easily distracted, forget daily activities, fidget, tap hands, tap feet, lose items"
18,Adjustment Disorders,"feeling sad, crying, worrying, feeling anxious, feeling jittery, feeling stressed out, trouble sleeping, lack of appetite, difficulty concentrating, feeling overwhelmed, difficulty functioning in daily activities, withdrawing from social supports, avoiding important things, suicidal thoughts, suicidal behavior"
19,Adrenal Cancer,"weight gain, muscle weakness, pink or purple stretch marks on the skin, excess facial hair, hair loss on the head, irregular periods, enlarged breast tissue, shrinking testicles, nausea, vomiting, abdominal bloating, back pain, fever, loss of appetite, loss of weight without trying"
20,Adult Adhd,"impulsiveness, restlessness, difficulty focusing, problems prioritizing, missed deadlines, forgotten meetings, forgotten social plans, impatience, mood swings, outbursts of anger, disorganization, poor time management skills, trouble multitasking, excessive activity, poor planning, low frustration tolerance, problems following through, trouble coping with stress, hot temper, difficulty paying attention, anxiety, mood disorders, depression"
21,Adult Stills Disease,"fever, sore throat, swollen joints, stiff joints, achy joints, muscle pain, rash"
22,Age Spots,"increased pigmentation, mottled appearance, age spots grow in size, age spots group together"
23,Agoraphobia,"anxiety, fainting, falling, diarrhea, rapid heart rate, trouble breathing, feeling of choking, chest pain, chest pressure, lightheadedness, dizziness, feeling shaky, feeling numb, feeling tingling, sweating, flushing, chills, upset stomach, feeling a loss of control, fear of dying"
24,Aids,"high_fever, muscle_wasting, patches_in_throat"
25,Airplane Ear,"moderate discomfort, pain, fullness, stuffiness, muffled hearing, hearing loss, severe pain, increased ear pressure, tinnitus, vertigo, bleeding"
26,Albinism,"strabismus, problems seeing near objects, problems seeing far objects, freckles, white hair, very light-colored skin, back-and-forth movement of the eyes that can't be controlled, astigmatism, farsightedness, nearsightedness, extreme sensitivity to light, uncommon head position, uncommon head posture, solar lentigines, sunburn, no ability to tan, reduced vision, misrouting of the optic nerve, poor depth perception, moles, eyes that can't look at the same direction at the same time, crossed eyes, large freckle-like spots, blurred vision, rapid eye movements, legal blindness, complete blindness"
27,Alcohol Intolerance,"facial redness (flushing), red, itchy skin bumps (hives), worsening of pre-existing asthma, runny or stuffy nose, low blood pressure, nausea, vomiting, diarrhea"
28,Alcohol Poisoning,"confusion, vomiting, seizures, slow breathing, irregular breathing, blue-tinged skin, pale skin, low body temperature, hypothermia, passing out, unconsciousness"
29,Alcohol Use Disorder,"coma, seizures, poor coordination, anxiety, hallucinations, hand tremors, nausea, vomiting, problems sleeping, problems with attention or memory, rapid heartbeat, restlessness, agitation, slurred speech, sweating, shaking, inappropriate behavior, unstable moods"
30,Alcoholic Hepatitis,"bend in the penis, pink or purple color to the normally white part of the eye, abdominal pain, tenderness in the lower abdomen, abnormal breathing sounds (stridor), acting somewhat confused, anxiety, anxiety, a feeling of doom, back pain, blistering that is present at birth, blisters in or around the mouth, throat, blisters on the skin as a result of minor injury or temperature change, blisters around the eyes, nose, bluish skin(fingernails, lips), bowel or bladder incontinence, bursts of energy, change in sleep patterns, changes in mental status or mood, chills, confusion, constipation, convulsions (seizures), cough, decreased ability to feel touch or pain (sensation), decreased ability to move any part of the body, decreased urine output, delusions, difficulty breathing, difficulty swallowing -- choking easily, doesn't pay attention to details or makes careless mistakes, dry skin all over the body, emotional or personality changes, enlarged lymph nodes, enlarged pupil in one eye, enlarged tongue, excessive sweating, excitement or fear, eye pain, eye tenderness, fainting/drowsiness, fatigue(feeling tired), fever-- usually low-grade, firm skin bumps, fluid-filled blisters, foamy appearance of urine, forgetting details about current events, foul or strong urine odor, glassy or sunken eyes, hair loss, hallucinations, headache, high blood pressure, hoarse cry, hoarseness, is aggressive toward others or self, itching, joint pain, kidney failure, lack of tears, lethargy, light sensitivity, loss of appetite, low blood pressure, mitten-like hands or feet, mood swings, muscle aches, joint stiffness from swelling of the tissue over the joint, muscle cramps, nail problems, nausea, vomiting, numbness, tingling of hands or feet, other rashes on the head of the penis, pain in the abdomen, pain in the shoulder, pain with sexual intercourse, painful sexual intercourse, rapid respiratory rate, rashes, redness around the skin eruptions, restlessness, restlessness when awake, runny nose, sensations may be tingling, shortening of the penis, skin redness, skin sores (lesions), skin ulcers, sleep apnea, sleepiness, sore throat, stupor (lack of alertness), swelling of feet, swelling of legs, swollen glands, swollen lymph nodes in the neck, tearing (watery eyes), tearing of the eye, tender or sore skin, yellowing of the skin, yellowing of the whites of the eyes (jaundice), thickening of skin on hands, feet, throbbing pain with itching or burning sensation, tiny white bumps on previously injured skin, unconsciousness, unintentional weight loss, unusual sleepiness or tiredness, urination difficulty, vomiting, warm skin in the affected area, warm skin in the area of redness, waxy skin bumps, weakness of the face or facial asymmetry, abdominal_pain, agitation, dark urine, depression, diarrhea, distention_of_abdomen, drooling, feeling unable to concentrate, fluid_overload, general swelling, irritability, often low grade fatigue, weakness, often waking up at night, or areas of bumpy skin on the back of the arms, front of the thighs, or gagging, or not thinking clearly, smelling an odor that is not actually there, staring spells, swelling_of_stomach, tremor in full body, violent shaking, loss of alertness, weakness, yellowish_skin"
31,Allergies,"itch, redden, flake, peel, sneezing, itching of the nose, loss of consciousness, drop in blood pressure, severe shortness of breath, skin rash, lightheadedness, chest tightness, runny nose, stuffy nose, watery eyes, red eyes, swollen eyes, tingling in the mouth, swelling of the lips, tongue, face, throat, hives, weak pulse, nausea, vomiting, wheezing, itchy skin, rash, facial swelling, cough, large area of swelling (edema) at the sting site, itching or hives all over the body"
32,Allergy,"abnormal feeling of movement, abnormal or increased menstrual bleeding in females, abnormal vaginal bleeding between periods, abnormal vaginal bleeding after menopause or between periods, abnormal vaginal discharge with greenish, absent or small knuckles, back pain, belly button that sticks out, blackheads, blood in the stool, blood in the urine, blue lips, fingernails, bluish skin(fingernails, lips), body odor, bulge in the groin or scrotum, carpal tunnel syndrome, changes in muscle tone, chest discomfort, clay-colored stools, cleft palate, clumsy speech pattern (dysarthria), confusion, cough that produces mucus, crusting of skin bumps, cysts, decreased muscle tone at birth, decreased peripheral vision, decreased urine output, deformed ears, dehydration, delayed sexual maturity, delayed teeth, difficulty breathing, difficulty controlling arm movements, difficulty understanding speech, dilated pupils, distinct facial features, doesn't pay attention to details or makes careless mistakes, downward palpebral slant to eyes, enlarged tongue, excess skin at the nape of the neck, excessive height, excessive sweating, failure to gain weight, fainting/drowsiness, fatigue(feeling tired), faulty judgment, fever-- usually low-grade, flattened nose, frequent middle ear infections, growth problems, hairline with a ""widow's peak"", headache, hearing loss, hearing problems, heart enlargement, heart murmur, heavy menstrual periods, hoarseness, tickle in the throat, dry skin, swelling around my eyes, feeling sick, sick to my stomach, feeling tired, sneezing, sore throat, swelling of lips, swelling around the eyes, feverish, muscle aches, cramps, runny nose, itchy eyes, watery eyes, sore eyes, stuffy nose, blocked nose, stiffness, chest pain, can't taste or smell anything, nasal congestion, stiff neck, asthma, wheezing, breathing problems, itchy, red, trouble breathing, short of breath, scratchy throat, eye inflammation, trouble swallowing, inability to fully extend the joints from birth, intellectual disability, jaw pain, joint pain, large bones of the face, large feet (change in shoe size), large glands in the skin (sebaceous glands) causing oily skin, lethargy, long-term pelvic or low back pain, loss of appetite, loss of balance, low blood pressure, low blood sugar, menstrual bleeding that is not regular or predictable, mild to moderate cognitive problems, mild to moderate short height, mildly sunken chest (pectus excavatum), muscle spasms, itchy skin, red skin, narrow shoulders, nausea, vomiting, neck stiffness that gets worse over time, numbness in the face or one ear, pain in the abdomen, pain in the face or one ear, pain or burning with urination, pain that spreads to your back or below your right shoulder blade, painful menstrual periods, painful sexual intercourse, pale color of the arm or leg (pallor), pale skin, papules (small red bumps), pelvic pain during intercourse, poor judgment, poorly developed middle section of the face, prolonged muscle spasms(tetany), pustules (small red bumps containing white or yellow pus), rapid heart rate, rapid respiratory rate, redness around the skin eruptions, repetitive eye movements (nystagmus), ringing (tinnitus) in the affected ear, scarring of the skin, separated joints between the bones of the skull (sutures), shallow breathing, sharp pain, short fingers, toes with mild webbing, shortness of breath, shortness of breath that gets worse with activity, single crease in the palm of the hand, single crease in the palm of the hand.1, sleep apnea, sleepiness, slow, labored breathing, small ears, small mouth, small nose with nostrils tipped forward, sounding as though they are mumbling, speaking in a nasal or stuffy voice, speaking softly or in a whisper, steady pain, stiffness in the neck, swelling of abdomen, swelling of legs, swollen lymph nodes in the neck, testicles that have not come down (undescended), the body doesn't respond to certain hormones, top portion of the ear folded over slightly, triple-jointed thumbs, uncoordinated eye movements, unusual, excessive sweating on face or palms, upward slanting eyes, vaginal bleeding after douching or intercourse, vaginal discharge, vaginal discharge that does not stop, walking problems (unsteady gait) that can lead to falls, weakness of the face or facial asymmetry, wheezing, white spots on the colored part of the eye (brushfield spots), wide, wide (dilated) pupils, no movement in one or both eyes, wide-set eyes with droopy eyelids, yellowing of skin, whites of the eyes (jaundice), dizziness, swollen throat, pain in my chest, continuous_sneezing, cramping, chills, flaky skin, hacking cough, large hands (change in ring or glove size), large jaw, tongue, lightheaded, my chest hurts, my eyes hurt, my mouth tastes bad, my taste is off, nauseated, or breathy voice, or dull pain, or foul-smelling, pain in the side, shaky, shivering, short arms, legs, short hands with short fingers, skin tags (growths), sluggish movement, strained voice, swollen skin, thickening of the skin, under arms, watering_from_eyes, watery, weakness, watery eyes, swollen lips, swollen cheeks, achy, swollen face, runny eyes, joint pain, muscle pain, heat, itchy throat, muscle aches, painful muscles, red skin that sometimes flakes, puffy eyes, peeling skin, bad taste, tingly throat, muscle spasms, uncontrolled movements, gaps between the teeth, hoarse voice"
33,Ambiguous Genitalia,"enlarged clitoris, labia that include folds, resemble a scrotum, lumps that feel like testes in the fused labia, hypospadias, abnormally small penis with the urethral opening closer to the scrotum, absence of one or both testicles in what appears to be the scrotum, undescended testicles, empty scrotum that has the appearance of a labia, micropenis, closed labia"
34,Ameloblastoma,"pain, lump, swelling"
35,Amenorrhea,"milky nipple discharge, hair loss, headache, vision changes, excess facial hair, pelvic pain, acne"
36,Amnesia,"trouble learning new information, trouble remembering past events, problems with short-term memory, confusion, disorientation, false memories, memory loss"
37,Amyloidosis,"purpura around the eyes, enlarged tongue, fatigue, weakness, shortness of breath, numbness, constipation, pain in hands or feet, swelling of ankles, legs, diarrhea, bruising, tingling, skin changes"
38,Amyotrophic Lateral Sclerosis,"difficulty walking, tripping, falling, weakness in legs, feet or ankles, hand weakness or clumsiness, slurred speech, trouble swallowing, muscle cramps, twitching, cognitive, behavioral changes, inappropriate crying, speaking, breathing, chewing"
39,Anal Fissure,"pain during bowel movements, pain after bowel movements, bright red blood on the stool, bright red blood on toilet paper, visible crack in the skin around the anus, small lump on the skin, skin tag on the skin"
40,Anal Fistula,"opening on the skin around the anus, blood or stool from the tunnel opening, pain in the rectum, anus, fever, inflamed area around the tunnel opening, oozing of pus"
41,Anaphylaxis,"hives, itching, flushed skin, pale skin, low blood pressure, constriction of the airways, swollen tongue, swollen throat, vomiting, diarrhea, dizziness, fainting, wheezing, trouble breathing, weak pulse, rapid pulse, nausea"
42,Angelman Syndrome,"developmental delays, sucking or feeding difficulty, trouble going to sleep, staying asleep, seizures, no crawling or babbling, intellectual disability, no speech or minimal speech, difficulty walking, moving or balancing well, frequent smiling, laughter, unusual behaviors, hand flapping, arms uplifted while walking, sleep problems, curved spine (scoliosis), stiff or jerky movements, small head size, flatness in the back of the head, tongue thrusting"
43,Angina,"discomfort in the neck, chest pain, dizziness, fatigue, nausea, shortness of breath, sweating, pain in the jaw, pain in the neck, pain in the shoulder, pain in the back, stabbing pain, stomach (abdominal) pain, burning, fullness, pressure, squeezing, pain in the arms"
44,Angiosarcoma,"raised area of skin that looks like a bruise, bruise-like lesion that grows larger over time, lesion that may bleed when scratched or bumped, swelling in the skin around the lesion, pain"
45,Anorgasmia,"delayed orgasm, absence of orgasm, fewer orgasms, less-intense orgasms"
46,Anthrax,"bloody diarrhea, sore throat, difficulty swallowing, swollen neck, flu-like symptoms, fatigue, muscle aches, mild chest discomfort, shortness of breath, nausea, coughing up blood, painful swallowing, high fever, trouble breathing, shock, meningitis, redness at injection site, significant swelling, multiple organ failure, vomiting, abdominal pain, headache, loss of appetite, itchy bump, painless sore with black center, swelling in lymph glands, mild fever, sometimes itchy"
47,Antiphospholipid Syndrome,"pain, rash, migraines, dementia, seizures, bleeding, headaches, swelling, redness"
48,Antisocial Personality Disorder,"ignoring right, wrong, telling lies, not being sensitive or respectful of others, using charm or wit to manipulate others, sense of superiority, being extremely opinionated, problems with the law, aggressive, criminal behavior, hostile, ongoing behavior problems, aggression toward people, animals, destruction of property, lying, dishonesty, theft, serious violation of rules, violent or threatening to others, feeling no guilt about harming others, doing dangerous things with no regard for safety, being irresponsible, failing to fulfill work or financial responsibilities"
49,Anxiety,"feeling nervous, chest pain, fear, avoidance of social situations, embarrassment, fluttering or pounding heart (heart palpitations), feelings of impending doom, increased heart rate, rapid breathing (hyperventilation), sweating, trembling, feeling weak or tired, trouble concentrating, trouble sleeping, gastrointestinal (gi) problems, difficulty controlling worry, urge to avoid things that trigger anxiety, restless or tense, sense of impending danger, self-consciousness, shortness of breath"
50,Aortic Dissection,"weakness, paralysis, weak pulse, leg pain, difficulty walking, difficulty speaking, vision problems, chest pain, upper back pain, stomach pain, loss of consciousness, shortness of breath, stroke"
51,Aortic Valve Disease,"whooshing heart sound, heart murmur, chest pain, chest tightness, dizziness, fainting, fatigue, irregular heartbeat, shortness of breath, not eating enough, not gaining enough weight"
52,Aortic Valve Regurgitation,"discomfort or tightness, heart murmur, irregular pulse (arrhythmia), lightheadedness or fainting, chest pain (angina), fluttering heartbeat (palpitations), swollen ankles, feet, shortness of breath, fatigue, weakness"
53,Aphasia,"speak in short or incomplete sentences, speak in sentences that don't make sense, substitute one word for another or one sound for another, speak unrecognizable words, have difficulty finding words, not understand other people's conversation, not understand what they read, write sentences that don't make sense"
54,Aplastic Anemia,"fatigue, shortness of breath, rapid or irregular heart rate, pale skin, frequent or prolonged infections, unexplained or easy bruising, nosebleeds, bleeding gums, prolonged bleeding from cuts, skin rash, dizziness, headache, fever"
55,Appendicitis,"sudden pain that begins on the right side of the lower abdomen, sudden pain that begins around your navel, often shifts to your lower right abdomen, pain that worsens if you cough, nausea, vomiting, loss of appetite, low-grade fever, constipation, diarrhea, abdominal bloating, flatulence"
56,Arteriosclerosis Atherosclerosis,"difficulty speaking or slurred speech, drooping muscles in your face, leg pain when walking (claudication), decreased blood pressure in an affected limb, temporary loss of vision in one eye, high blood pressure, kidney failure, chest pain or pressure (angina), sudden numbness or weakness in your arms or legs"
57,Arteriovenous Fistula,"bulging veins seen through the skin, swelling in the arms or legs, decreased blood pressure, fatigue, heart failure, pale gray or blue lips or fingernails due to lack of blood flow (cyanosis), fingertips to spread out, become rounder than normal (clubbing), coughing up blood, gastrointestinal (gi) bleeding"
58,Arthritis,"chest sinks in or sticks out, abnormal urine color, anemia, being slow to sit up, blood in the urine, bone, joint pain, bone pain or tenderness, bumps feel like very rough sandpaper, bumps may appear on the face, be mistaken for acne, changes in mental status or mood, changes in muscle tone, changes in skin pigment, chest pain, chills, clay-colored stools, constipation, convulsions (seizures), cough, curvature of spine, decreased memory, delayed puberty, delusions, difficulty swallowing liquids, solids, drooping eyelids, enlarged breasts, enlarged pupil in one eye, excessive sweating, eye changes in pupil size, failure to gain weight, failure to thrive, fainting/drowsiness, fatigue, fever, hair changes (change in color or texture), headache, hearing loss, hoarseness, joint pain, stiff neck, muscle weakness, swollen joints, stiffness, walking difficulty, increased infections, inflammation of ear canal, irritability, itching of the lips or skin around the mouth, lack of coordination, large belly, leaking urine, lethargy, loss of appetite, loss of balance, loss of vision, memory loss, mild to severe pain, movement of the lens of the eye, muscle aches, muscle cramps, muscle twitching, nausea, vomiting, night sweats, pain in the abdomen, pain in the arms or legs, pain in belly area or side of back, pain may move to the groin area, pustules, rashes, rashes same size, shape on both sides, ringing in the ear, sexual problems, shock, skin sores, skin-colored bumps, slight pinkness around bumps, slurred speech or difficulty swallowing, small bumps look like goose bumps, small penis size, sore throat, spine curvatures, sweating at night, swelling, swollen lymph nodes in the neck, testicles not moved into scrotum, trouble feeding, trouble getting or staying pregnant, ulcers in mouth, throat, unintentional weight loss, unstable or jerky walking, unusual, excessive sweating on face or palms, urethra on underside of the penis, urination changes, vertigo, vomiting, yellow color inside the mouth, eyes moving on their own, agitation, dark urine, depression, diarrhea, excessive urination at night, irregular, worse in the morning, throbbing, tremor, testicle pain"
59,Ascariasis,"persistent cough, shortness of breath, wheezing, vague abdominal pain, nausea, vomiting, diarrhea, bloody stools, severe abdominal pain, fatigue, weight loss, malnutrition, worm in vomit, worm in stool"
60,Asthma,"coughing, wheezing, shortness of breath, chest tightness, chest pain, difficulty breathing, trouble sleeping"
61,Astigmatism,"blurred or distorted vision, eyestrain or discomfort, headaches, difficulty with night vision, squinting"
62,Ataxia,"poor coordination, walking unsteadily, poor balance, difficulty with fine motor tasks, change in speech, involuntary back-and-forth eye movements, difficulty swallowing"
63,Atelectasis,"shallow breathing, wheezing, cough, difficulty breathing"
64,Athletes Foot,"scaly rash, itch, burning, stinging, blisters, dry, inflamed skin, reddish skin, peeling skin, cracked skin, itchiness, purplish skin, grayish skin"
65,Atopic Dermatitis Eczema,"cracked skin, itchiness, rash, swollen skin, itchy patches, dry skin, red patches, oozing, crusting, thickened skin, darkening of the skin around the eyes, raw skin, raised bumps, sensitive skin"
66,Atrial Fibrillation,"palpitations, chest pain, dizziness, fatigue, lightheadedness, reduced ability to exercise, shortness of breath, weakness"
67,Atrial Septal Defect,"shortness of breath, fatigue, swelling of legs, swelling of feet, swelling of belly, irregular heartbeats, palpitations"
68,Atrioventricular Canal Defect,"reduced ability to exercise, shortness of breath, swelling in the legs, wheezing, chest pressure or pain, blue or gray skin color, difficulty breathing, rapid breathing, excessive sweating, fatigue, irregular or rapid heartbeat, lack of appetite, poor weight gain, high blood pressure in the lungs, heart failure, weakness, nausea, persistent cough"
69,Atypical Hyperplasia,no specific symptoms
70,Autism Spectrum Disorder,"aggressive behavior, disruptive behavior, difficulty recognizing nonverbal cues, preferring to play alone, lower than normal intelligence, behavioral problems, emotional problems, limited understanding of language, lack of understanding of questions, lack of understanding of directions, doesn't express emotions or feelings, unaware of others' feelings, doesn't point at objects to share interest, inappropriate social interaction, unusually sensitive to light, withdrawn, loss of language skills, difficulty learning, difficulty with language, difficulty with social skills, fails to respond to name, appears not to hear, resists cuddling, holding, repetitive movements, repetitive interests, repetitive activities, lack of response to name, indifference to caregivers, loses ability to say words or sentences, can't start a conversation, can't keep a conversation going, speaks with an abnormal tone or rhythm, singsong voice, robot-like speech, repeats words or phrases verbatim, refusing foods with a certain texture, repetitive patterns of behavior, retreating into own world, poor eye contact, lacks facial expression, doesn't speak, delayed speech, impairments, problems with social interaction, problems with communication skills, disturbances in behavior, spinning, hand flapping, activities that could cause self-harm, biting, head-banging, stiff body language, exaggerated body language, fascinated by details of an object, develops specific routines, disturbed at change, problems with coordination, odd movement patterns, clumsiness, walking on toes, specific food preferences, indifferent to pain, indifferent to temperature, doesn't engage in imitative play, doesn't engage in make-believe play, fixates on an object, fixates on activity with abnormal intensity, reduced eye contact"
71,Autoimmune Hepatitis,"fatigue, abdominal discomfort, jaundice, enlarged liver, spider angiomas, skin rashes, joint pains, loss of menstrual periods"
